日付,時間,役,順位,名前,得票数
04/20,18,四天王,1,奈緒,1561
04/20,18,四天王,2,亜利沙,1536
04/20,18,四天王,3,茜,728
04/20,18,四天王,4,莉緒,584
04/20,18,四天王,5,歩,380
04/20,18,四天王,6,風花,131
04/20,18,四天王,7,志保,95
04/20,18,四天王,8,恵美,75
04/20,18,四天王,9,瑞希,66
04/20,18,四天王,10,のり子,63
04/20,19,四天王,1,奈緒,1578
04/20,19,四天王,2,亜利沙,1553
04/20,19,四天王,3,茜,740
04/20,19,四天王,4,莉緒,590
04/20,19,四天王,5,歩,382
04/20,19,四天王,6,風花,131
04/20,19,四天王,7,志保,96
04/20,19,四天王,8,恵美,76
04/20,19,四天王,9,瑞希,66
04/20,19,四天王,10,のり子,63
04/20,20,四天王,1,奈緒,1593
04/20,20,四天王,2,亜利沙,1563
04/20,20,四天王,3,茜,743
04/20,20,四天王,4,莉緒,602
04/20,20,四天王,5,歩,387
04/20,20,四天王,6,風花,131
04/20,20,四天王,7,志保,96
04/20,20,四天王,8,恵美,76
04/20,20,四天王,9,瑞希,66
04/20,20,四天王,10,のり子,63
04/20,21,四天王,1,奈緒,1610
04/20,21,四天王,2,亜利沙,1581
04/20,21,四天王,3,茜,747
04/20,21,四天王,4,莉緒,603
04/20,21,四天王,5,歩,389
04/20,21,四天王,6,風花,132
04/20,21,四天王,7,志保,102
04/20,21,四天王,8,恵美,77
04/20,21,四天王,9,瑞希,67
04/20,21,四天王,10,のり子,63
04/20,22,四天王,1,奈緒,1634
04/20,22,四天王,2,亜利沙,1630
04/20,22,四天王,3,茜,755
04/20,22,四天王,4,莉緒,606
04/20,22,四天王,5,歩,392
04/20,22,四天王,6,風花,134
04/20,22,四天王,7,志保,104
04/20,22,四天王,8,恵美,78
04/20,22,四天王,9,瑞希,67
04/20,22,四天王,10,のり子,64
04/20,23,四天王,1,奈緒,1651
04/20,23,四天王,2,亜利沙,1647
04/20,23,四天王,3,茜,758
04/20,23,四天王,4,莉緒,617
04/20,23,四天王,5,歩,396
04/20,23,四天王,6,風花,135
04/20,23,四天王,7,志保,104
04/20,23,四天王,8,恵美,79
04/20,23,四天王,9,瑞希,67
04/20,23,四天王,10,のり子,64
04/21,0,四天王,1,亜利沙,1703
04/21,0,四天王,2,奈緒,1693
04/21,0,四天王,3,茜,766
04/21,0,四天王,4,莉緒,641
04/21,0,四天王,5,歩,406
04/21,0,四天王,6,風花,140
04/21,0,四天王,7,志保,105
04/21,0,四天王,8,恵美,79
04/21,0,四天王,9,瑞希,68
04/21,0,四天王,10,のり子,65
04/21,1,四天王,1,亜利沙,1863
04/21,1,四天王,2,奈緒,1838
04/21,1,四天王,3,茜,807
04/21,1,四天王,4,莉緒,697
04/21,1,四天王,5,歩,446
04/21,1,四天王,6,風花,145
04/21,1,四天王,7,志保,119
04/21,1,四天王,8,恵美,81
04/21,1,四天王,9,瑞希,72
04/21,1,四天王,10,のり子,67
04/21,2,四天王,1,亜利沙,1905
04/21,2,四天王,2,奈緒,1894
04/21,2,四天王,3,茜,825
04/21,2,四天王,4,莉緒,707
04/21,2,四天王,5,歩,461
04/21,2,四天王,6,風花,147
04/21,2,四天王,7,志保,124
04/21,2,四天王,8,恵美,81
04/21,2,四天王,9,瑞希,74
04/21,2,四天王,10,のり子,69
04/21,3,四天王,1,亜利沙,1938
04/21,3,四天王,2,奈緒,1936
04/21,3,四天王,3,茜,844
04/21,3,四天王,4,莉緒,715
04/21,3,四天王,5,歩,468
04/21,3,四天王,6,風花,149
04/21,3,四天王,7,志保,124
04/21,3,四天王,8,恵美,81
04/21,3,四天王,9,瑞希,75
04/21,3,四天王,10,のり子,69
04/21,4,四天王,1,奈緒,1949
04/21,4,四天王,2,亜利沙,1949
04/21,4,四天王,3,茜,852
04/21,4,四天王,4,莉緒,723
04/21,4,四天王,5,歩,470
04/21,4,四天王,6,風花,150
04/21,4,四天王,7,志保,124
04/21,4,四天王,8,恵美,82
04/21,4,四天王,9,瑞希,77
04/21,4,四天王,10,のり子,71
04/21,5,四天王,1,亜利沙,1964
04/21,5,四天王,2,奈緒,1963
04/21,5,四天王,3,茜,852
04/21,5,四天王,4,莉緒,724
04/21,5,四天王,5,歩,470
04/21,5,四天王,6,風花,150
04/21,5,四天王,7,志保,124
04/21,5,四天王,8,恵美,82
04/21,5,四天王,9,瑞希,77
04/21,5,四天王,10,のり子,71
04/21,6,四天王,1,奈緒,1981
04/21,6,四天王,2,亜利沙,1978
04/21,6,四天王,3,茜,863
04/21,6,四天王,4,莉緒,738
04/21,6,四天王,5,歩,471
04/21,6,四天王,6,風花,155
04/21,6,四天王,7,志保,124
04/21,6,四天王,8,恵美,83
04/21,6,四天王,9,瑞希,78
04/21,6,四天王,10,のり子,71
04/21,7,四天王,1,奈緒,2007
04/21,7,四天王,2,亜利沙,2006
04/21,7,四天王,3,茜,872
04/21,7,四天王,4,莉緒,758
04/21,7,四天王,5,歩,472
04/21,7,四天王,6,風花,157
04/21,7,四天王,7,志保,125
04/21,7,四天王,8,恵美,86
04/21,7,四天王,9,瑞希,78
04/21,7,四天王,10,のり子,72
04/21,8,四天王,1,奈緒,2065
04/21,8,四天王,2,亜利沙,2047
04/21,8,四天王,3,茜,881
04/21,8,四天王,4,莉緒,782
04/21,8,四天王,5,歩,477
04/21,8,四天王,6,風花,159
04/21,8,四天王,7,志保,125
04/21,8,四天王,8,恵美,87
04/21,8,四天王,9,瑞希,78
04/21,8,四天王,10,のり子,73
04/21,9,四天王,1,奈緒,2108
04/21,9,四天王,2,亜利沙,2085
04/21,9,四天王,3,茜,887
04/21,9,四天王,4,莉緒,795
04/21,9,四天王,5,歩,483
