日付,時間,役,順位,名前,得票数
04/20,20,霊,6,琴葉,74
04/20,20,霊,7,まつり,57
04/20,20,霊,8,ジュリア,57
04/20,20,霊,9,可憐,49
04/20,20,霊,10,莉緒,46
04/20,21,霊,1,麗花,1739
04/20,21,霊,2,紗代子,1729
04/20,21,霊,3,美也,515
04/20,21,霊,4,瑞希,132
04/20,21,霊,5,杏奈,107
04/20,21,霊,6,琴葉,75
04/20,21,霊,7,まつり,57
04/20,21,霊,8,ジュリア,57
04/20,21,霊,9,莉緒,52
04/20,21,霊,10,可憐,49
04/20,22,霊,1,麗花,1776
04/20,22,霊,2,紗代子,1767
04/20,22,霊,3,美也,526
04/20,22,霊,4,瑞希,134
04/20,22,霊,5,杏奈,107
04/20,22,霊,6,琴葉,75
04/20,22,霊,7,ジュリア,58
04/20,22,霊,8,まつり,57
04/20,22,霊,9,莉緒,53
04/20,22,霊,10,可憐,50
04/20,23,霊,1,麗花,1802
04/20,23,霊,2,紗代子,1787
04/20,23,霊,3,美也,537
04/20,23,霊,4,瑞希,136
04/20,23,霊,5,杏奈,108
04/20,23,霊,6,琴葉,75
04/20,23,霊,7,ジュリア,59
04/20,23,霊,8,まつり,58
04/20,23,霊,9,莉緒,53
04/20,23,霊,10,可憐,51
04/21,0,霊,1,麗花,1854
04/21,0,霊,2,紗代子,1801
04/21,0,霊,3,美也,543
04/21,0,霊,4,瑞希,137
04/21,0,霊,5,杏奈,110
04/21,0,霊,6,琴葉,75
04/21,0,霊,7,ジュリア,60
04/21,0,霊,8,まつり,58
04/21,0,霊,9,莉緒,53
04/21,0,霊,10,可憐,52
04/21,1,霊,1,麗花,2013
04/21,1,霊,2,紗代子,1954
04/21,1,霊,3,美也,582
04/21,1,霊,4,瑞希,139
04/21,1,霊,5,杏奈,112
04/21,1,霊,6,琴葉,76
04/21,1,霊,7,ジュリア,61
04/21,1,霊,8,まつり,59
04/21,1,霊,9,可憐,54
04/21,1,霊,10,莉緒,53
04/21,2,霊,1,麗花,2077
04/21,2,霊,2,紗代子,2018
04/21,2,霊,3,美也,605
04/21,2,霊,4,瑞希,139
04/21,2,霊,5,杏奈,113
04/21,2,霊,6,琴葉,84
04/21,2,霊,7,ジュリア,61
04/21,2,霊,8,まつり,61
04/21,2,霊,9,莉緒,55
04/21,2,霊,10,可憐,54
04/21,3,霊,1,麗花,2098
04/21,3,霊,2,紗代子,2037
04/21,3,霊,3,美也,620
04/21,3,霊,4,瑞希,140
04/21,3,霊,5,杏奈,113
04/21,3,霊,6,琴葉,84
04/21,3,霊,7,ジュリア,61
04/21,3,霊,8,まつり,61
04/21,3,霊,9,莉緒,55
04/21,3,霊,10,可憐,55
04/21,4,霊,1,麗花,2104
04/21,4,霊,2,紗代子,2045
04/21,4,霊,3,美也,629
04/21,4,霊,4,瑞希,140
04/21,4,霊,5,杏奈,114
04/21,4,霊,6,琴葉,84
04/21,4,霊,7,ジュリア,61
04/21,4,霊,8,まつり,61
04/21,4,霊,9,莉緒,56
04/21,4,霊,10,可憐,55
04/21,5,霊,1,麗花,2107
04/21,5,霊,2,紗代子,2058
04/21,5,霊,3,美也,631
04/21,5,霊,4,瑞希,140
04/21,5,霊,5,杏奈,114
04/21,5,霊,6,琴葉,84
04/21,5,霊,7,まつり,62
04/21,5,霊,8,ジュリア,61
04/21,5,霊,9,莉緒,56
04/21,5,霊,10,可憐,55
04/21,6,霊,1,麗花,2114
04/21,6,霊,2,紗代子,2081
04/21,6,霊,3,美也,636
04/21,6,霊,4,瑞希,140
04/21,6,霊,5,杏奈,114
04/21,6,霊,6,琴葉,84
04/21,6,霊,7,ジュリア,66
