日付,時間,役,順位,名前,得票数
04/20,10,勇者,4,海美,157
04/20,10,勇者,5,静香,149
04/20,10,勇者,6,翼,132
04/20,10,勇者,7,昴,119
04/20,10,勇者,8,琴葉,102
04/20,10,勇者,9,志保,79
04/20,10,勇者,10,可奈,69
04/20,11,勇者,1,百合子,2225
04/20,11,勇者,2,杏奈,2147
04/20,11,勇者,3,未来,449
04/20,11,勇者,4,海美,161
04/20,11,勇者,5,静香,153
04/20,11,勇者,6,翼,132
04/20,11,勇者,7,昴,119
04/20,11,勇者,8,琴葉,106
04/20,11,勇者,9,志保,80
04/20,11,勇者,10,可奈,69
04/20,12,勇者,1,百合子,2257
04/20,12,勇者,2,杏奈,2175
04/20,12,勇者,3,未来,453
04/20,12,勇者,4,海美,161
04/20,12,勇者,5,静香,154
04/20,12,勇者,6,翼,136
04/20,12,勇者,7,昴,121
04/20,12,勇者,8,琴葉,107
04/20,12,勇者,9,志保,81
04/20,12,勇者,10,可奈,69
04/20,13,勇者,1,百合子,2298
04/20,13,勇者,2,杏奈,2233
04/20,13,勇者,3,未来,454
04/20,13,勇者,4,海美,161
04/20,13,勇者,5,静香,155
04/20,13,勇者,6,翼,137
04/20,13,勇者,7,昴,122
04/20,13,勇者,8,琴葉,107
04/20,13,勇者,9,志保,82
04/20,13,勇者,10,紗代子,73
04/20,14,勇者,1,百合子,2335
04/20,14,勇者,2,杏奈,2311
04/20,14,勇者,3,未来,455
04/20,14,勇者,4,海美,161
04/20,14,勇者,5,静香,155
04/20,14,勇者,6,翼,139
04/20,14,勇者,7,昴,122
04/20,14,勇者,8,琴葉,107
04/20,14,勇者,9,志保,83
04/20,14,勇者,10,紗代子,73
04/20,15,勇者,1,百合子,2361
04/20,15,勇者,2,杏奈,2333
04/20,15,勇者,3,未来,457
04/20,15,勇者,4,海美,164
04/20,15,勇者,5,静香,156
04/20,15,勇者,6,翼,141
04/20,15,勇者,7,昴,122
04/20,15,勇者,8,琴葉,108
04/20,15,勇者,9,志保,83
04/20,15,勇者,10,紗代子,73
04/20,16,勇者,1,杏奈,2405
04/20,16,勇者,2,百合子,2402
04/20,16,勇者,3,未来,463
04/20,16,勇者,4,海美,166
04/20,16,勇者,5,静香,156
04/20,16,勇者,6,翼,141
04/20,16,勇者,7,昴,122
04/20,16,勇者,8,琴葉,108
04/20,16,勇者,9,志保,83
04/20,16,勇者,10,紗代子,73
04/20,17,勇者,1,百合子,2488
04/20,17,勇者,2,杏奈,2483
04/20,17,勇者,3,未来,467
04/20,17,勇者,4,海美,167
04/20,17,勇者,5,静香,156
04/20,17,勇者,6,翼,143
04/20,17,勇者,7,昴,124
04/20,17,勇者,8,琴葉,109
04/20,17,勇者,9,志保,84
04/20,17,勇者,10,紗代子,79
04/20,18,勇者,1,百合子,2549
04/20,18,勇者,2,杏奈,2530
04/20,18,勇者,3,未来,467
04/20,18,勇者,4,海美,171
04/20,18,勇者,5,静香,156
04/20,18,勇者,6,翼,144
04/20,18,勇者,7,昴,125
04/20,18,勇者,8,琴葉,109
04/20,18,勇者,9,志保,84
04/20,18,勇者,10,紗代子,79
04/20,19,勇者,1,百合子,2603
04/20,19,勇者,2,杏奈,2560
04/20,19,勇者,3,未来,473
04/20,19,勇者,4,海美,171
04/20,19,勇者,5,静香,156
04/20,19,勇者,6,翼,144
04/20,19,勇者,7,昴,127
04/20,19,勇者,8,琴葉,110
04/20,19,勇者,9,志保,85
04/20,19,勇者,10,紗代子,79
04/20,20,勇者,1,百合子,2649
04/20,20,勇者,2,杏奈,2586
04/20,20,勇者,3,未来,476
04/20,20,勇者,4,海美,171
04/20,20,勇者,5,静香,157
04/20,20,勇者,6,翼,144
04/20,20,勇者,7,昴,127
04/20,20,勇者,8,琴葉,112
04/20,20,勇者,9,志保,86
04/20,20,勇者,10,紗代子,79
04/20,21,勇者,1,百合子,2700
04/20,21,勇者,2,杏奈,2633
04/20,21,勇者,3,未来,485
04/20,21,勇者,4,海美,171
04/20,21,勇者,5,静香,164
04/20,21,勇者,6,翼,146
04/20,21,勇者,7,昴,127
04/20,21,勇者,8,琴葉,112
04/20,21,勇者,9,志保,86
04/20,21,勇者,10,紗代子,81
04/20,22,勇者,1,百合子,2747
04/20,22,勇者,2,杏奈,2663
04/20,22,勇者,3,未来,490
04/20,22,勇者,4,海美,172
04/20,22,勇者,5,静香,164
04/20,22,勇者,6,翼,149
04/20,22,勇者,7,昴,128
04/20,22,勇者,8,琴葉,112
04/20,22,勇者,9,志保,93
04/20,22,勇者,10,紗代子,83
04/20,23,勇者,1,百合子,2789
04/20,23,勇者,2,杏奈,2710
04/20,23,勇者,3,未来,496
04/20,23,勇者,4,海美,173
04/20,23,勇者,5,静香,165
04/20,23,勇者,6,翼,149
04/20,23,勇者,7,昴,129
04/20,23,勇者,8,琴葉,113
04/20,23,勇者,9,志保,93
04/20,23,勇者,10,紗代子,85
04/21,0,勇者,1,百合子,2863
04/21,0,勇者,2,杏奈,2801
04/21,0,勇者,3,未来,498
04/21,0,勇者,4,海美,174
04/21,0,勇者,5,静香,168
04/21,0,勇者,6,翼,150
04/21,0,勇者,7,昴,130
04/21,0,勇者,8,琴葉,118
04/21,0,勇者,9,志保,96
04/21,0,勇者,10,紗代子,90
04/21,1,勇者,1,杏奈,3109
04/21,1,勇者,2,百合子,3081
04/21,1,勇者,3,未来,514
04/21,1,勇者,4,海美,178
04/21,1,勇者,5,静香,174
04/21,1,勇者,6,翼,150
04/21,1,勇者,7,昴,133
04/21,1,勇者,8,琴葉,121
04/21,1,勇者,9,志保,101
04/21,1,勇者,10,紗代子,90
04/21,2,勇者,1,杏奈,3223
04/21,2,勇者,2,百合子,3164
04/21,2,勇者,3,未来,519
04/21,2,勇者,4,海美,180
04/21,2,勇者,5,静香,176
04/21,2,勇者,6,翼,151
04/21,2,勇者,7,昴,134
04/21,2,勇者,8,琴葉,122
04/21,2,勇者,9,志保,102
04/21,2,勇者,10,紗代子,90
04/21,3,勇者,1,杏奈,3262
04/21,3,勇者,2,百合子,3259
04/21,3,勇者,3,未来,520
04/21,3,勇者,4,海美,181
04/21,3,勇者,5,静香,180
04/21,3,勇者,6,翼,151
04/21,3,勇者,7,昴,134
04/21,3,勇者,8,琴葉,122
04/21,3,勇者,9,志保,102
04/21,3,勇者,10,紗代子,93
04/21,4,勇者,1,杏奈,3285
04/21,4,勇者,2,百合子,3279
04/21,4,勇者,3,未来,522
04/21,4,勇者,4,海美,181
04/21,4,勇者,5,静香,180
04/21,4,勇者,6,翼,151
04/21,4,勇者,7,昴,136
04/21,4,勇者,8,琴葉,122
04/21,4,勇者,9,志保,104
04/21,4,勇者,10,紗代子,93
