日付,時間,役,順位,名前,得票数
04/20,21,お嬢,7,まつり,233
04/20,21,お嬢,8,志保,141
04/20,21,お嬢,9,紗代子,140
04/20,21,お嬢,10,朋花,121
04/20,22,お嬢,1,桃子,1703
04/20,22,お嬢,2,千鶴,1171
04/20,22,お嬢,3,エミリー,701
04/20,22,お嬢,4,静香,668
04/20,22,お嬢,5,星梨花,401
04/20,22,お嬢,6,琴葉,302
04/20,22,お嬢,7,まつり,234
04/20,22,お嬢,8,紗代子,144
04/20,22,お嬢,9,志保,141
04/20,22,お嬢,10,朋花,123
04/20,23,お嬢,1,桃子,1718
04/20,23,お嬢,2,千鶴,1180
04/20,23,お嬢,3,エミリー,714
04/20,23,お嬢,4,静香,673
04/20,23,お嬢,5,星梨花,406
04/20,23,お嬢,6,琴葉,314
04/20,23,お嬢,7,まつり,238
04/20,23,お嬢,8,紗代子,144
04/20,23,お嬢,9,志保,141
04/20,23,お嬢,10,朋花,123
04/21,0,お嬢,1,桃子,1739
04/21,0,お嬢,2,千鶴,1200
04/21,0,お嬢,3,エミリー,725
04/21,0,お嬢,4,静香,683
04/21,0,お嬢,5,星梨花,408
04/21,0,お嬢,6,琴葉,315
04/21,0,お嬢,7,まつり,238
04/21,0,お嬢,8,昴,152
04/21,0,お嬢,9,紗代子,144
04/21,0,お嬢,10,志保,141
04/21,1,お嬢,1,桃子,1847
04/21,1,お嬢,2,千鶴,1280
04/21,1,お嬢,3,エミリー,817
04/21,1,お嬢,4,静香,723
04/21,1,お嬢,5,星梨花,442
04/21,1,お嬢,6,琴葉,322
04/21,1,お嬢,7,まつり,242
04/21,1,お嬢,8,昴,232
04/21,1,お嬢,9,紗代子,150
04/21,1,お嬢,10,志保,145
04/21,2,お嬢,1,桃子,1892
04/21,2,お嬢,2,千鶴,1303
04/21,2,お嬢,3,エミリー,828
04/21,2,お嬢,4,静香,736
04/21,2,お嬢,5,星梨花,444
04/21,2,お嬢,6,琴葉,325
04/21,2,お嬢,7,昴,251
04/21,2,お嬢,8,まつり,243
04/21,2,お嬢,9,紗代子,150
04/21,2,お嬢,10,志保,147
04/21,3,お嬢,1,桃子,1907
04/21,3,お嬢,2,千鶴,1327
04/21,3,お嬢,3,エミリー,846
04/21,3,お嬢,4,静香,748
04/21,3,お嬢,5,星梨花,445
04/21,3,お嬢,6,琴葉,326
04/21,3,お嬢,7,昴,259
04/21,3,お嬢,8,まつり,245
04/21,3,お嬢,9,紗代子,152
04/21,3,お嬢,10,志保,148
04/21,4,お嬢,1,桃子,1918
04/21,4,お嬢,2,千鶴,1334
04/21,4,お嬢,3,エミリー,856
04/21,4,お嬢,4,静香,762
04/21,4,お嬢,5,星梨花,446
04/21,4,お嬢,6,琴葉,328
04/21,4,お嬢,7,昴,259
04/21,4,お嬢,8,まつり,245
04/21,4,お嬢,9,紗代子,152
04/21,4,お嬢,10,志保,148
04/21,5,お嬢,1,桃子,1935
04/21,5,お嬢,2,千鶴,1340
04/21,5,お嬢,3,エミリー,861
04/21,5,お嬢,4,静香,763
04/21,5,お嬢,5,星梨花,446
04/21,5,お嬢,6,琴葉,328
04/21,5,お嬢,7,昴,271
04/21,5,お嬢,8,まつり,245
04/21,5,お嬢,9,紗代子,155
04/21,5,お嬢,10,志保,148
04/21,6,お嬢,1,桃子,1940
04/21,6,お嬢,2,千鶴,1350
04/21,6,お嬢,3,エミリー,868
04/21,6,お嬢,4,静香,766
04/21,6,お嬢,5,星梨花,447
04/21,6,お嬢,6,琴葉,330
04/21,6,お嬢,7,昴,271
04/21,6,お嬢,8,まつり,245
04/21,6,お嬢,9,紗代子,158
04/21,6,お嬢,10,志保,148
04/21,7,お嬢,1,桃子,1948
04/21,7,お嬢,2,千鶴,1370
04/21,7,お嬢,3,エミリー,882
04/21,7,お嬢,4,静香,779
04/21,7,お嬢,5,星梨花,456
04/21,7,お嬢,6,琴葉,331
04/21,7,お嬢,7,昴,289
04/21,7,お嬢,8,まつり,246
04/21,7,お嬢,9,紗代子,160
04/21,7,お嬢,10,志保,149
04/21,8,お嬢,1,桃子,1987
04/21,8,お嬢,2,千鶴,1387
04/21,8,お嬢,3,エミリー,895
04/21,8,お嬢,4,静香,795
04/21,8,お嬢,5,星梨花,456
04/21,8,お嬢,6,琴葉,333
04/21,8,お嬢,7,昴,305
04/21,8,お嬢,8,まつり,247
04/21,8,お嬢,9,紗代子,160
04/21,8,お嬢,10,志保,149
04/21,9,お嬢,1,桃子,2022
04/21,9,お嬢,2,千鶴,1400
04/21,9,お嬢,3,エミリー,909
04/21,9,お嬢,4,静香,797
04/21,9,お嬢,5,星梨花,465
04/21,9,お嬢,6,琴葉,334
04/21,9,お嬢,7,昴,330
