日付,時間,役,順位,名前,得票数
04/21,14,悪徳組長,9,千鶴,66
04/21,14,悪徳組長,10,茜,65
04/21,15,悪徳組長,1,まつり,3162
04/21,15,悪徳組長,2,ひなた,3135
04/21,15,悪徳組長,3,風花,413
04/21,15,悪徳組長,4,奈緒,245
04/21,15,悪徳組長,5,朋花,196
04/21,15,悪徳組長,6,このみ,111
04/21,15,悪徳組長,7,杏奈,88
04/21,15,悪徳組長,8,志保,80
04/21,15,悪徳組長,9,千鶴,67
04/21,15,悪徳組長,10,茜,66
04/21,16,悪徳組長,1,まつり,3188
04/21,16,悪徳組長,2,ひなた,3183
04/21,16,悪徳組長,3,風花,413
04/21,16,悪徳組長,4,奈緒,246
04/21,16,悪徳組長,5,朋花,197
04/21,16,悪徳組長,6,このみ,111
04/21,16,悪徳組長,7,杏奈,88
04/21,16,悪徳組長,8,志保,81
04/21,16,悪徳組長,9,千鶴,67
04/21,16,悪徳組長,10,茜,66
04/21,17,悪徳組長,1,ひなた,3222
04/21,17,悪徳組長,2,まつり,3205
04/21,17,悪徳組長,3,風花,416
04/21,17,悪徳組長,4,奈緒,246
04/21,17,悪徳組長,5,朋花,198
04/21,17,悪徳組長,6,このみ,111
04/21,17,悪徳組長,7,杏奈,89
04/21,17,悪徳組長,8,志保,81
04/21,17,悪徳組長,9,千鶴,68
04/21,17,悪徳組長,10,茜,66
04/21,18,悪徳組長,1,ひなた,3260
04/21,18,悪徳組長,2,まつり,3230
04/21,18,悪徳組長,3,風花,423
04/21,18,悪徳組長,4,奈緒,246
04/21,18,悪徳組長,5,朋花,198
04/21,18,悪徳組長,6,このみ,112
04/21,18,悪徳組長,7,杏奈,89
04/21,18,悪徳組長,8,志保,81
04/21,18,悪徳組長,9,千鶴,68
04/21,18,悪徳組長,10,茜,67
