日付,時間,役,順位,名前,得票数
04/21,6,村人A,7,未来,36
04/21,6,村人A,8,可奈,36
04/21,6,村人A,9,瑞希,33
04/21,6,村人A,10,志保,24
04/21,7,村人A,1,ロコ,1837
04/21,7,村人A,2,茜,104
04/21,7,村人A,3,ひなた,84
04/21,7,村人A,4,美奈子,55
04/21,7,村人A,5,亜利沙,44
04/21,7,村人A,6,千鶴,43
04/21,7,村人A,7,可奈,38
04/21,7,村人A,8,未来,37
04/21,7,村人A,9,瑞希,34
04/21,7,村人A,10,志保,24
04/21,8,村人A,1,ロコ,1858
04/21,8,村人A,2,茜,109
04/21,8,村人A,3,ひなた,85
04/21,8,村人A,4,美奈子,56
04/21,8,村人A,5,亜利沙,44
04/21,8,村人A,6,千鶴,43
04/21,8,村人A,7,可奈,40
04/21,8,村人A,8,未来,37
04/21,8,村人A,9,瑞希,34
04/21,8,村人A,10,志保,24
04/21,9,村人A,1,ロコ,1875
04/21,9,村人A,2,茜,110
04/21,9,村人A,3,ひなた,87
04/21,9,村人A,4,美奈子,60
04/21,9,村人A,5,亜利沙,44
04/21,9,村人A,6,千鶴,43
04/21,9,村人A,7,可奈,40
04/21,9,村人A,8,未来,37
04/21,9,村人A,9,瑞希,34
04/21,9,村人A,10,志保,24
04/21,10,村人A,1,ロコ,1886
04/21,10,村人A,2,茜,110
04/21,10,村人A,3,ひなた,88
04/21,10,村人A,4,美奈子,60
04/21,10,村人A,5,亜利沙,45
04/21,10,村人A,6,千鶴,43
04/21,10,村人A,7,可奈,40
04/21,10,村人A,8,未来,37
04/21,10,村人A,9,瑞希,34
04/21,10,村人A,10,志保,24
04/21,11,村人A,1,ロコ,1900
04/21,11,村人A,2,茜,110
04/21,11,村人A,3,ひなた,88
04/21,11,村人A,4,美奈子,60
04/21,11,村人A,5,亜利沙,45
04/21,11,村人A,6,千鶴,43
04/21,11,村人A,7,可奈,40
04/21,11,村人A,8,未来,37
04/21,11,村人A,9,瑞希,34
04/21,11,村人A,10,志保,24
04/21,12,村人A,1,ロコ,1912
04/21,12,村人A,2,茜,111
04/21,12,村人A,3,ひなた,88
04/21,12,村人A,4,美奈子,60
04/21,12,村人A,5,亜利沙,45
04/21,12,村人A,6,千鶴,44
04/21,12,村人A,7,可奈,40
04/21,12,村人A,8,未来,37
04/21,12,村人A,9,瑞希,34
04/21,12,村人A,10,志保,24
04/21,13,村人A,1,ロコ,1922
04/21,13,村人A,2,茜,111
04/21,13,村人A,3,ひなた,90
04/21,13,村人A,4,美奈子,60
04/21,13,村人A,5,亜利沙,47
04/21,13,村人A,6,千鶴,44
04/21,13,村人A,7,可奈,41
04/21,13,村人A,8,未来,38
04/21,13,村人A,9,瑞希,34
04/21,13,村人A,10,志保,24
04/21,14,村人A,1,ロコ,1928
04/21,14,村人A,2,茜,111
04/21,14,村人A,3,ひなた,90
04/21,14,村人A,4,美奈子,60
04/21,14,村人A,5,亜利沙,47
04/21,14,村人A,6,千鶴,44
04/21,14,村人A,7,可奈,41
04/21,14,村人A,8,未来,39
04/21,14,村人A,9,瑞希,34
04/21,14,村人A,10,志保,24
04/21,15,村人A,1,ロコ,1935
04/21,15,村人A,2,茜,113
